epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.013,0.88541,0.84995,0.99895,0.43846,0.0099906,0.0033302,0.0099906,0.0033302,0.0099906,0.0033302,0.0099906,0.0033302
2,178.642,0.4668,0.89664,1,0.29743,0.0198257,0.00660856,0.0198257,0.00660856,0.0198257,0.00660856,0.0198257,0.00660856
3,249.774,0.43432,0.86411,0.99843,0.41761,0.0294958,0.00983192,0.0294958,0.00983192,0.0294958,0.00983192,0.0294958,0.00983192
4,300.005,0.43399,0.88143,0.99948,0.32069,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
