epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,2121.37,0.11215,0.95908,0.99948,0.15207,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,2164.41,0.11398,0.9575,1,0.15404,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,2207.16,0.10802,0.96013,1,0.15084,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,2249.86,0.106,0.96013,1,0.14881,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,2292.66,0.11199,0.95855,1,0.14391,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,2336.07,0.10157,0.9596,1,0.1449,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,2379.01,0.09345,0.95803,1,0.14727,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,2421.71,0.09966,0.95593,1,0.15006,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,2464.36,0.09766,0.95645,1,0.1497,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,2506.93,0.10229,0.9554,1,0.14949,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,2550.81,0.09427,0.95435,1,0.15203,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,2593.18,0.09623,0.95435,1,0.14979,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,2635.96,0.08962,0.95331,1,0.15027,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,2678.48,0.08691,0.95488,1,0.15109,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,2721.22,0.09443,0.95593,1,0.15167,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,2764.51,0.08595,0.95593,1,0.15325,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,2807.46,0.08183,0.9554,1,0.15514,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,2850.69,0.08332,0.95645,1,0.15361,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,2894.61,0.08297,0.95645,1,0.15457,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,2937.54,0.08063,0.95593,1,0.15303,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,2980.8,0.08268,0.95645,1,0.1536,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,3024.32,0.07577,0.95698,1,0.15446,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,3068.28,0.0786,0.9575,1,0.15518,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,3111.31,0.07346,0.95803,1,0.15555,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,3155.09,0.07406,0.95855,1,0.15597,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,3198.43,0.07301,0.9596,1,0.15613,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,3241.38,0.06922,0.95908,1,0.15466,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,3284.48,0.07503,0.95908,1,0.15768,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,3327.55,0.06839,0.95803,1,0.15435,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,3370.53,0.06255,0.95803,1,0.15465,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,3413.38,0.06546,0.95855,1,0.15438,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,3456.19,0.06548,0.95855,1,0.15432,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,3498.86,0.06493,0.9575,1,0.15556,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,3541.72,0.06148,0.95803,1,0.15441,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,3584.7,0.06003,0.95908,1,0.15443,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,3628.56,0.06082,0.95908,1,0.1595,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,3671.59,0.0609,0.95908,1,0.15999,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
