epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,513.918,0.55508,0.88706,0.9995,0.33527,0.000332978,0.000332978,0.0670352
2,1087.45,0.30668,0.94181,1,0.17723,0.000647464,0.000647464,0.0340163
3,1649.86,0.25854,0.95057,0.99994,0.15018,0.000943093,0.000943093,0.00097863
4,2183.18,0.23249,0.94969,0.99981,0.15587,0.000915143,0.000915143,0.000915143
5,2711.73,0.2067,0.95833,0.99994,0.13342,0.000886857,0.000886857,0.000886857
6,3237.44,0.19034,0.95789,0.99994,0.1322,0.000858571,0.000858571,0.000858571
